title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,Paul Rhys,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.3989536 37.7572314),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3989536,2024-12-06T12:17:47.000,37.7572314
They Call Me MISTER Tibbs,1970,,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
On the Road,2012,Filbert & Leavenworth Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,CA,San Francisco,POINT (-122.4176189 37.800359),3,2024-12-18T14:30:38.000,Russian Hill,-122.4176189,2024-12-06T12:17:47.000,37.800359
Sense8,2015,Harrison & 20th,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4125388 37.7590414),9,2024-12-18T14:30:38.000,Mission,-122.4125388,2024-12-06T12:17:47.000,37.7590414
Venom,2018,O'Farrell between Leavenworth and Jones,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4142543 37.7855844),5,2024-12-18T14:30:38.000,Tenderloin,-122.4142543,2024-12-06T12:17:47.000,37.7855844
The Last Black Man in San Francisco,2019,801 Innes Ave,Bus stop,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.3722183 37.729848),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3722183,2024-12-06T12:17:47.000,37.729848
"Looking ""Special""",2016,10th Street between Market & Mission,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
DEVS,2020,Duboce Park,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.433214 37.769551),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.433214,2024-12-06T12:17:47.000,37.769551
The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.411412 37.7971782),3,2024-12-18T14:30:38.000,Chinatown,-122.411412,2024-12-06T12:17:47.000,37.7971782
Invasion of the Body Snatchers,1978,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Ant-Man and the Wasp,2018,Jefferson St at Taylor St,,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.4157997 37.8082387),3,2024-12-18T14:30:38.000,North Beach,-122.4157997,2024-12-06T12:17:47.000,37.8082387
DEVS,2020,North Beach - Romolo at Fresno and Vallejo at Kearny,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4057299 37.7989855),3,2024-12-18T14:30:38.000,North Beach,-122.4057299,2024-12-06T12:17:47.000,37.7989855
Mrs. Doubtfire,1993,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,CA,San Francisco,POINT (-122.4650165 37.8040257),2,2024-12-18T14:30:38.000,Presidio,-122.4650165,2024-12-06T12:17:47.000,37.8040257
Petulia,1968,2417 Franklin Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,CA,San Francisco,POINT (-122.4254618 37.7967479),2,2024-12-18T14:30:38.000,Marina,-122.4254618,2024-12-06T12:17:47.000,37.7967479
Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Tin Cup,1996,,,Regency Enterprises,Warner Bros. Pictures,Ron Shelton,John Norville,Kevin Costner,Rene Russo,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Terminator - Genisys,2015,California St. between Drumm St. and Kearny St.,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.396797 37.793527),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.396797,2024-12-06T12:17:47.000,37.793527
Nine Months,1995,Montgomery & Vallejo Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.4040755 37.7991868),3,2024-12-18T14:30:38.000,North Beach,-122.4040755,2024-12-06T12:17:47.000,37.7991868
Venom,2018,Romolo St and Fresno Pl,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4063952 37.7986067),3,2024-12-18T14:30:38.000,North Beach,-122.4063952,2024-12-06T12:17:47.000,37.7986067
"Murder in the First, Season 1",2014,Ida B. Wells High School (1099 Hayes Street),"Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells",Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4340242 37.7750608),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4340242,2024-12-06T12:17:47.000,37.7750608
Surface,2022,Vallejo Street between Jones and Vallejo Street Crest,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4044008 37.7991483),3,2024-12-18T14:30:38.000,North Beach,-122.4044008,2024-12-06T12:17:47.000,37.7991483
Age of Adaline,2015,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,CA,San Francisco,POINT (-122.3897154 37.7827982),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3897154,2024-12-06T12:17:47.000,37.7827982
Red Widow,2013,Geary & 27th Ave,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.4868945 37.7799347),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4868945,2024-12-06T12:17:47.000,37.7799347
San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave.",Characters look for a form of communication with LA in a post-quake trashed city,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4067887 37.7973074),3,2024-12-18T14:30:38.000,Chinatown,-122.4067887,2024-12-06T12:17:47.000,37.7973074
Etruscan Smile,2017,"Outpost Studios, 69 Green Street",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4007518 37.8003382),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4007518,2024-12-06T12:17:47.000,37.8003382
This Is Us,2022,Pier 39,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.409821 37.808673),3,2024-12-18T14:30:38.000,North Beach,-122.409821,2024-12-06T12:17:47.000,37.808673
Interview With The Vampire,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
The Matrix Resurrections,2021,"Sansome, Sacramento, and California",,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.40133 37.79428),3,2024-12-18T14:30:38.000,Chinatown,-122.40133,2024-12-06T12:17:47.000,37.79428
Looking Season 2 ep 210,2015,67 Deming Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4457286 37.7603405),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4457286,2024-12-06T12:17:47.000,37.7603405
Shit and Champagne,2020,Steiner St and Hayes St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.4328658 37.7756401),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4328658,2024-12-06T12:17:47.000,37.7756401
Cardinal X,2015,3639 Taraval St,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,CA,San Francisco,POINT (-122.5053735 37.7415774),4,2024-12-18T14:30:38.000,Sunset/Parkside,-122.5053735,2024-12-06T12:17:47.000,37.7415774
Godzilla,2014,Potrero &San Bruno,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4078275 37.7359369),9,2024-12-18T14:30:38.000,Portola,-122.4078275,2024-12-06T12:17:47.000,37.7359369
Steve Jobs,2015,War Memorial Opera House (401 Van Ness Avenue),,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,CA,San Francisco,POINT (-122.4205316 37.7795597),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4205316,2024-12-06T12:17:47.000,37.7795597
Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4058222 37.8023949),3,2024-12-18T14:30:38.000,North Beach,-122.4058222,2024-12-06T12:17:47.000,37.8023949
Godzilla,2014,Broadway & Columbus,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4067083 37.7978824),3,2024-12-18T14:30:38.000,Chinatown,-122.4067083,2024-12-06T12:17:47.000,37.7978824
Invasion of the Body Snatchers,1978,32 Napier Lane,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4038587 37.8025889),3,2024-12-18T14:30:38.000,North Beach,-122.4038587,2024-12-06T12:17:47.000,37.8025889
What the Bleep Do We Know,2004,Golden Gate National Recreation Area,The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.,Captured Light,Samuel Goldwyn Films,William Arntz,William Arntz & Betsy Chasse,Marlee Matlin,,,CA,San Francisco,POINT (-122.5300777 37.8451837),,2024-12-18T14:30:38.000,,-122.5300777,2024-12-06T12:17:47.000,37.8451837
Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson","The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4547542 37.7383582),7,2024-12-18T14:30:38.000,West of Twin Peaks,-122.4547542,2024-12-06T12:17:47.000,37.7383582
180,2011,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.4108465 37.7918448),3,2024-12-18T14:30:38.000,Nob Hill,-122.4108465,2024-12-06T12:17:47.000,37.7918448
"Murder in the First, Season 3",2016,Harriet Alley,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4042226 37.7765149),6,2024-12-18T14:30:38.000,South of Market,-122.4042226,2024-12-06T12:17:47.000,37.7765149
Milk,2008,Marine Fireman's Union Headquarters,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,CA,San Francisco,POINT (-122.3977242 37.786052),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3977242,2024-12-06T12:17:47.000,37.786052
Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4027468 37.7950185),3,2024-12-18T14:30:38.000,Chinatown,-122.4027468,2024-12-06T12:17:47.000,37.7950185
Dopamine,2003,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Kontent Films,Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach,John Livingston,Sabrina Lloyd,,CA,San Francisco,POINT (-122.47709 37.8106117),2,2024-12-18T14:30:38.000,Presidio,-122.47709,2024-12-06T12:17:47.000,37.8106117
Dawn of the Planet of the Apes,2014,City Hall,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Vertigo,1958,Ernie's Restaurant (847 Montgomery Street),"Called the ""Essex Club"" in the film.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.4038363 37.7969649),3,2024-12-18T14:30:38.000,Chinatown,-122.4038363,2024-12-06T12:17:47.000,37.7969649
Birth of the Dragon,2016,California at Mason,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,CA,San Francisco,POINT (-122.4108465 37.7918448),3,2024-12-18T14:30:38.000,Nob Hill,-122.4108465,2024-12-06T12:17:47.000,37.7918448
Chance- Season 1 ep107,2016,Buena Vista betweeen Upper Terrace and Java St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4428 37.76582),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.4428,2024-12-06T12:17:47.000,37.76582
Pushing Dead,2016,"Cordova Market, 301 Rolph Street, San Francisco",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4363113 37.7136213),11,2024-12-18T14:30:38.000,Excelsior,-122.4363113,2024-12-06T12:17:47.000,37.7136213
Looking Season 2 ep 210,2015,8 Octavia Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4232829 37.7722677),6,2024-12-18T14:30:38.000,Hayes Valley,-122.4232829,2024-12-06T12:17:47.000,37.7722677
Chance- Season 1 ep103,2016,878-898 Chestnut St.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4180911 37.8033201),3,2024-12-18T14:30:38.000,Russian Hill,-122.4180911,2024-12-06T12:17:47.000,37.8033201
The Matrix Resurrections,2021,Vallejo at Jones,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.4154149 37.7977655),3,2024-12-18T14:30:38.000,Nob Hill,-122.4154149,2024-12-06T12:17:47.000,37.7977655
San Andreas,2015,Pier 43,Bystanders watch as a tsunami crashes over them,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4133446 37.8092691),3,2024-12-18T14:30:38.000,North Beach,-122.4133446,2024-12-06T12:17:47.000,37.8092691
GirlBoss,2017,Fillmore between Haight and Waller,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4307999 37.772151),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4307999,2024-12-06T12:17:47.000,37.772151
The Last Black Man in San Francisco,2019,911 Innes Ave,Grandpa Allen's home,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.376241 37.7321694),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.376241,2024-12-06T12:17:47.000,37.7321694
Pal Joey,1957,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak,CA,San Francisco,POINT (-122.4058222 37.8023949),3,2024-12-18T14:30:38.000,North Beach,-122.4058222,2024-12-06T12:17:47.000,37.8023949
Always Be My Maybe,2019,de Young Museum/Golden Gate Park,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4686755 37.771469),7,2024-12-18T14:30:38.000,Golden Gate Park,-122.4686755,2024-12-06T12:17:47.000,37.771469
Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4102081 37.7904395),3,2024-12-18T14:30:38.000,Nob Hill,-122.4102081,2024-12-06T12:17:47.000,37.7904395
On the Road,2012,2017 23rd Street,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,CA,San Francisco,POINT (-122.4000696 37.7544983),10,2024-12-18T14:30:38.000,Potrero Hill,-122.4000696,2024-12-06T12:17:47.000,37.7544983
DEVS,2020,Sycamore Alley,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4204941 37.7626596),9,2024-12-18T14:30:38.000,Mission,-122.4204941,2024-12-06T12:17:47.000,37.7626596
A Night Full of Rain,1978,Broadway (North Beach),,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,CA,San Francisco,POINT (-122.4074424 37.7977897),3,2024-12-18T14:30:38.000,Chinatown,-122.4074424,2024-12-06T12:17:47.000,37.7977897
By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,CA,San Francisco,POINT (-122.4208052 37.7602662),9,2024-12-18T14:30:38.000,Mission,-122.4208052,2024-12-06T12:17:47.000,37.7602662
A Taiwanese Tale of Two Cities,2018,Steiner St at Fulton St,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4332453 37.7775008),5,2024-12-18T14:30:38.000,Western Addition,-122.4332453,2024-12-06T12:17:47.000,37.7775008
GirlBoss,2017,Clarion Alley between Valencia and Mission,The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4207943 37.7629824),9,2024-12-18T14:30:38.000,Mission,-122.4207943,2024-12-06T12:17:47.000,37.7629824
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,CA,San Francisco,POINT (-122.4101808 37.8016649),3,2024-12-18T14:30:38.000,North Beach,-122.4101808,2024-12-06T12:17:47.000,37.8016649
Chance - Season 1 Pilot,2016,940 Powell St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4092654 37.7934919),3,2024-12-18T14:30:38.000,Chinatown,-122.4092654,2024-12-06T12:17:47.000,37.7934919
Sphere,1998,S.S. Jeremiah O'Brien,,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer,Dustin Hoffman,Sharon Stone,,CA,San Francisco,POINT (-122.4178564 37.8109433),,2024-12-18T14:30:38.000,,-122.4178564,2024-12-06T12:17:47.000,37.8109433
Sense8 - Season 2,2016,"San Francisco City Hall, 1 Dr. Carlton B. Goodlett Pl.","Many films have shot scene in and around the building including Raiders of the Lost Ark, Invasion of the Body Snatchers, Dirty Harry, The Towering Inferno, A View to a Kill and most recently, Milk. The Christmas party scene for this show was shot in the Rotunda.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4067083 37.7978824),3,2024-12-18T14:30:38.000,Chinatown,-122.4067083,2024-12-06T12:17:47.000,37.7978824
Seven Girlfriends,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",White Dwarf Productions,Lions Gate Films Home Entertainment,Paul Lazarus,Paul Lazarus,Laura Leighton,Tim Daly,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
The Matrix Resurrections,2021,Harry Bridges Plaza and Embarcadero,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.394184 37.7951058),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.394184,2024-12-06T12:17:47.000,37.7951058
GirlBoss,2017,"Underground SF, 424 Haight St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4294493 37.7724593),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4294493,2024-12-06T12:17:47.000,37.7724593
"Murder in the First, Season 3",2016,887 De Haro Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4007918 37.7586336),10,2024-12-18T14:30:38.000,Potrero Hill,-122.4007918,2024-12-06T12:17:47.000,37.7586336
DEVS,2020,Broadway btwn Polk and Kearny,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4218564 37.7957972),3,2024-12-18T14:30:38.000,Russian Hill,-122.4218564,2024-12-06T12:17:47.000,37.7957972
Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4126175 37.758168),9,2024-12-18T14:30:38.000,Mission,-122.4126175,2024-12-06T12:17:47.000,37.758168
